instrument_id,name,acronym,owner,owner_normalised,owner_category,year_established,year_established_detail,year_source_url,status,geographic_scope,instrument_type,bindingness,adoption_driver,trust_stack_layer,interoperability_posture,problem_domain,harm_family,harm_family_confidence,sector_family,sector_family_confidence,sector_detail,cluster,object_attributes,public_harm_addressed,wito_relevance,references_builds_on,adoption_penetration,adoption_figure_found,effectiveness_verified,effectiveness_evidence_found,compliance_cost,compliance_cost_found,source_url,source_note
1,Drug Supply Chain Security Act,DSCSA,US FDA (Title II of the Drug Quality and Security Act),US FDA,public,2013,2013,,phased-in,national,binding-regulation,mandatory,mandate-driven,mandating-regulation,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals,Pharma & Medical,"identity, authenticity-anti-counterfeit, chain-of-custody",counterfeit/diverted prescription drugs in the US supply chain,mandate-owner to recognize,GS1 system,"US federal mandate covering essentially all human, finished, prescription drugs across the domestic supply chain (manufacturers, repackagers, wholesale distributors, dispensers). Enhanced interoperable, electronic, package-level traceability requirements became effective 27 Nov 2023; FDA issued a one-year stabilization exemption to 27 Nov 2024, with further phased dispenser timelines into 2025 (FDA).",1,"inconclusive: No rigorous peer-reviewed outcome evaluation establishes that serialization/track-and-trace (EU FMD, operational 2019; US DSCSA) has reduced falsified-medicine incidence. WHO reports that substandard/falsified products concentrate in low- and middle-income countries (~1 in 10 medicines) and in informal markets and unauthorized online sales - channels largely outside the regulated supply chains these systems secure - and lists track-and-trace as only one enabling tool among many. Legal-supply-chain baseline incidence in the EU/US was already very low, so a measurable incidence reduction attributable to serialization has not been demonstrated.",1,No published compliance-cost figure identified,0,https://www.fda.gov/drugs/drug-supply-chain-integrity/drug-supply-chain-security-act-dscsa,FDA page confirms 2013 enactment and package-level interoperable electronic trace goal phased over ten years.
2,Falsified Medicines Directive,FMD (2011/62/EU),EU Parliament and Council (amends Dir 2001/83/EC),European Union,public,2011,2011,,in force,regional,binding-regulation,mandatory,mandate-driven,mandating-regulation,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals,Pharma & Medical,"authenticity-anti-counterfeit, safety, identity",falsified medicines entering the legal supply chain,mandate-owner to recognize,GS1 system,"Mandatory across 30 European countries (all EU Member States plus the EEA and Switzerland) operating the verification system it requires; safety features on prescription-medicine packs live since 9 Feb 2019 (EMVO system description, 2019). [https://health.ec.europa.eu/document/download/59efb019-57a1-4161-99a2-9b5cc63d3d26_en?filename=trends_medicinal-products-falsification_study_en.pdf]",1,limited - the EU Commission study supporting its report to the European Parliament (2024) concluded 'conclusions can hardly be drawn about its overall effectiveness'; only a handful of falsifications were detected in the legal supply chain (EMA confirmed cases fell from 24 in 2017 to 3 in 2022) and 2023 Q2 decommissioning averaged only 75.4%. [https://health.ec.europa.eu/document/download/59efb019-57a1-4161-99a2-9b5cc63d3d26_en?filename=trends_medicinal-products-falsification_study_en.pdf],1,No published compliance-cost figure identified,0,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:32011L0062,EUR-Lex confirms Directive 2011/62/EU of 8 June 2011 on preventing falsified medicinal products.
3,Delegated Regulation on safety features,EU 2016/161,European Commission,European Union,public,2016,2016,,in force,regional,binding-regulation,mandatory,mandate-driven,identifier,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals,Pharma & Medical,"authenticity-anti-counterfeit, identity, safety",verification of medicine authenticity at dispensing,mandate-owner to recognize,Commission Delegated Regulation implementing the Falsified Medicines Directive 2011/62/EU (defines the unique identifier and anti-tampering device).,Applies in the 30 EMVS countries; requires a unique identifier (2D Data Matrix) plus an anti-tampering device on prescription packs from 9 Feb 2019 (Italy and Greece on a six-year extended timeline). [https://health.ec.europa.eu/document/download/59efb019-57a1-4161-99a2-9b5cc63d3d26_en?filename=trends_medicinal-products-falsification_study_en.pdf],1,"limited - the same EU Commission 2024 study found the safety-features system detected only a few falsified medicines in the legal supply chain and that overall effectiveness could not be established, partly due to incomplete implementation and low decommissioning rates. [https://health.ec.europa.eu/document/download/59efb019-57a1-4161-99a2-9b5cc63d3d26_en?filename=trends_medicinal-products-falsification_study_en.pdf]",1,No published compliance-cost figure identified,0,https://eur-lex.europa.eu/eli/reg_del/2016/161/oj/eng,EUR-Lex ELI confirms Delegated Reg (EU) 2016/161 detailing the unique identifier and anti-tampering safety features; applied 9 Feb 2019.
4,European Medicines Verification System / Organisation,EMVS / EMVO,European Medicines Verification Organisation (industry stakeholder non-profit),European Medicines Verification Organisation,hybrid,2015,2015,,in force,regional,NGO-multistakeholder-scheme,de-facto-required-for-market-access,mandate-driven,traceability-exchange-protocol,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals,Pharma & Medical,"authenticity-anti-counterfeit, identity",falsified medicines reaching patients,sectoral scheme/standard,Legal basis: Falsified Medicines Directive 2011/62/EU and Delegated Regulation (EU) 2016/161 on safety features.,"30 participating countries; ~2,800 pharmaceutical companies onboarded to the EU Hub and 120,000+ connected end-users (110,000+ pharmacies, 6,000+ hospital pharmacies, 4,000+ wholesalers); operational since 9 Feb 2019 (EMVO 'EMVS Explained'). [https://emvo-medicines.eu/wp-content/uploads/The-European-Medicines-Verification-System-Explained.pdf]",1,limited - EU Commission 2024 study concluded the system has contributed to detecting only a few falsification cases and that its overall effectiveness could not be demonstrated. [https://emvo-medicines.eu/wp-content/uploads/The-European-Medicines-Verification-System-Explained.pdf],1,No published compliance-cost figure identified,0,https://emvo-medicines.eu/about/,EMVO site confirms 2015 founding and operation of the European Hub / EMVS mandated by the FMD.
5,GDSN for Healthcare,GDSN,GS1 (certified data pools),GS1,NGO-multistakeholder,2004,2004,,in force,global-multilateral,voluntary-consensus-standard,voluntary,market-driven,data-credential-model,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Pharmaceuticals & medical devices,high,medical devices and pharmaceuticals,Pharma & Medical,"identity, composition, safety",inaccurate product master data affecting patient safety,sectoral scheme/standard,GS1,"Nearly 1 million healthcare items registered in the GDSN (growth driven largely by the US FDA UDI rule); GDSN overall used by 25,000+ companies across more than 150 countries (GS1 UK). [https://www.gs1uk.org/insights/news/gdsn-now-holds-global-data-on-almost-1-million-healthcare-items]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.gs1.org/industries/healthcare/share-data/gdsn,GS1 healthcare page confirms GDSN shares trusted master product data across partners as a global standard.
6,FDA Unique Device Identification,UDI (21 CFR 830),US FDA,US FDA,public,2013,2013,,phased-in,national,binding-regulation,mandatory,mandate-driven,mandating-regulation,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Pharmaceuticals & medical devices,high,medical devices,Pharma & Medical,"identity, safety, authenticity-anti-counterfeit",inability to identify/trace and recall unsafe or counterfeit devices,mandate-owner to recognize,GS1,"5,152,799 device identifier records in the GUDID full release dated 3 July 2026 (AccessGUDID/NLM); 7,681 US labelers per FDA GUDID data trends (data current 8 Dec 2025). [https://accessgudid.nlm.nih.gov/download]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.fda.gov/medical-devices/device-advice-comprehensive-regulatory-assistance/unique-device-identification-system-udi-system,"FDA page confirms 2013 final rule, mandatory UDI, GUDID submission, and use of issuing agencies GS1/HIBCC/ICCBBA."
7,EU MDR UDI system / EUDAMED,MDR 2017/745 UDI,European Commission and national competent authorities,European Union,public,2017,2017,,phased-in,regional,binding-regulation,mandatory,mandate-driven,mandating-regulation,mutual-recognition,Product integrity,Unsafe or non-compliant products,high,Pharmaceuticals & medical devices,high,medical devices,Pharma & Medical,"identity, safety, chain-of-custody",weak traceability and post-market surveillance of devices,mandate-owner to recognize,Implements Regulation (EU) 2017/745 (MDR) and Regulation (EU) 2017/746 (IVDR); operational framework set by Commission Implementing Regulation (EU) 2021/2078; its UDI model aligns with the IMDRF UDI System Application Guide.,"The EUDAMED Actor registration, UDI/Device registration, Notified Bodies & Certificates, and Market Surveillance modules become mandatory EU-wide on 28 May 2026 (per the European Commission); two further modules — Post-Market Surveillance/Vigilance and Clinical Investigation/Performance Studies — remain under development with no set mandatory date. [https://health.ec.europa.eu/medical-devices-eudamed/overview_en]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://eur-lex.europa.eu/eli/reg/2017/745/2020-04-24/eng,"EUR-Lex confirms Reg (EU) 2017/745 (5 Apr 2017); Basic UDI-DI/UDI-DI/PI with EUDAMED registration, device module mandatory from 2026."
8,IMDRF UDI System / Application Guide,IMDRF UDI,International Medical Device Regulators Forum,International Medical Device Regulators Forum,public,2013,2013,,in force,global-multilateral,govt-referenced-standard,voluntary,mandate-driven,governance-mutual-recognition,mutual-recognition,System interoperability,Interoperability & fragmentation failure,high,Pharmaceuticals & medical devices,high,medical devices,Pharma & Medical,"identity, safety","fragmented, non-interoperable national device identification",peer framework,"The Application Guide recognizes three accredited UDI issuing agencies as conformant device-identification systems: GS1, HIBCC, and ICCBBA.","Founding IMDRF regulatory members (US FDA, EU, Japan's PMDA, Health Canada, Australia's TGA, Brazil's ANVISA, and the Asian Harmonization Working Party) aligned on the UDI approach from the guide's inception; China's regulator joined IMDRF as a full member in March 2013 and adopted the UDI framework. [https://www.raps.org/resource/imdrf-issues-major-guidance-outlining-udi-framewor.html]",1,No published evaluation identified (checked),0,No published compliance-cost figure identified,0,https://www.imdrf.org/working-groups/unique-device-identification-udi-application-guide,IMDRF working-group listing confirms it issues the harmonized regulator UDI Application Guide.
9,WHO Global Surveillance and Monitoring System,WHO GSMS,World Health Organization,World Health Organization,public,2013,2013,,in force,global-multilateral,govt-referenced-standard,voluntary,mandate-driven,governance-mutual-recognition,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,"pharmaceuticals, vaccines, diagnostics",Pharma & Medical,"authenticity-anti-counterfeit, safety, compliance-conformity",undetected substandard and falsified medical products,peer framework,(no explicit dependency identified),"1,500 reports of substandard or falsified medical products received since the system was set up in 2013 (WHO, 2017); WHO estimates about 1 in 10 (10.5%) medical products in low- and middle-income countries are substandard or falsified. [https://www.who.int/news/item/28-11-2017-1-in-10-medical-products-in-developing-countries-is-substandard-or-falsified]",1,No published outcome evaluation identified,0,No published compliance-cost figure identified,0,https://www.who.int/news-room/fact-sheets/detail/substandard-and-falsified-medical-products,WHO fact sheet confirms GSMS launched 2013 as a reporting portal for national regulators.
10,WHO Member State Mechanism on SF products,WHO MSM,World Health Organization (World Health Assembly),World Health Organization,public,2012,2012,,in force,global-multilateral,govt-referenced-standard,voluntary,mandate-driven,governance-mutual-recognition,mutual-recognition,Product integrity,Counterfeiting & falsification,high,Pharmaceuticals & medical devices,high,pharmaceuticals and medical products,Pharma & Medical,"authenticity-anti-counterfeit, safety",lack of coordinated global response to SF medical products,peer framework,"Complements the WHO Global Surveillance and Monitoring System (GSMS) for substandard/falsified medical products, launched July 2013; WHO estimates at least 1 in 10 medicines in low- and middle-income countries are substandard or falsified, costing an estimated US$30.5 billion/year.","As of 2025, 45 of 47 WHO African Region countries have nominated National Focal Points integrated into WHO's surveillance system — up from only 5 countries when the situation was reported to WHO's Executive Board in January 2025 — generating 39 regional alerts between 2020 and 2025. [https://healthpolicy-watch.news/who-delays-falsified-medicine-mechanism-reform-amid-health-crisis/]",1,"mixed — WHO's independent 2024 evaluation of the Member State Mechanism found it remains 'a vital platform' but is hindered by inadequate sustainable funding and inconsistent member-state engagement, per WHO Assistant Director-General Dr Chikwe Ihekweazu. [https://healthpolicy-watch.news/who-delays-falsified-medicine-mechanism-reform-amid-health-crisis/]",1,No published compliance-cost figure identified,0,https://www.who.int/news-room/fact-sheets/detail/substandard-and-falsified-medical-products,WHO fact sheet confirms a Member State mechanism for collaboration on SF products.
